targtemp,testtype,testid,refvalue,RefCol,checkcol,high,low,testname
150,2,7,-77,InAmp,CorrectedNearRMS,0.1,-0.1,1MHzCalAmpTest
150,2,7,-79,InAmp,CorrectedNearRMS,0.1,-0.1,1MHzCalAmpTest
150,2,7,-81,InAmp,CorrectedNearRMS,0.1,-0.1,1MHzCalAmpTest
150,2,7,-83,InAmp,CorrectedNearRMS,0.1,-0.1,1MHzCalAmpTest
150,2,7,-85,InAmp,CorrectedNearRMS,0.1,-0.1,1MHzCalAmpTest
150,2,7,-87,InAmp,CorrectedNearRMS,0.1,-0.1,1MHzCalAmpTest
150,2,7,-89,InAmp,CorrectedNearRMS,0.1,-0.1,1MHzCalAmpTest
150,2,7,-91,InAmp,CorrectedNearRMS,0.1,-0.1,1MHzCalAmpTest
150,2,7,-93,InAmp,CorrectedNearRMS,0.1,-0.1,1MHzCalAmpTest
150,2,7,-95,InAmp,CorrectedNearRMS,0.1,-0.1,1MHzCalAmpTest
150,2,7,-97,InAmp,CorrectedNearRMS,0.1,-0.1,1MHzCalAmpTest
150,2,7,-99,InAmp,CorrectedNearRMS,0.1,-0.1,1MHzCalAmpTest
25,2,8,-40,InPhase,NormalizedExPhase,0.144,-0.144,2MHzPhaseLinearity
25,2,8,-30,InPhase,NormalizedExPhase,0.133,-0.133,2MHzPhaseLinearity
25,2,8,-20,InPhase,NormalizedExPhase,0.122,-0.122,2MHzPhaseLinearity
25,2,8,-10,InPhase,NormalizedExPhase,0.111,-0.111,2MHzPhaseLinearity
25,2,8,0,InPhase,NormalizedExPhase,0.1,-0.1,2MHzPhaseLinearity
25,2,8,10,InPhase,NormalizedExPhase,0.111,-0.111,2MHzPhaseLinearity
25,2,8,20,InPhase,NormalizedExPhase,0.122,-0.122,2MHzPhaseLinearity
25,2,8,30,InPhase,NormalizedExPhase,0.133,-0.133,2MHzPhaseLinearity
25,2,8,40,InPhase,NormalizedExPhase,0.144,-0.144,2MHzPhaseLinearity
25,2,8,-40,InPhase,NormalizedStPhase,0.144,-0.144,2MHzPhaseLinearity
25,2,8,-30,InPhase,NormalizedStPhase,0.133,-0.133,2MHzPhaseLinearity
25,2,8,-20,InPhase,NormalizedStPhase,0.122,-0.122,2MHzPhaseLinearity
25,2,8,-10,InPhase,NormalizedStPhase,0.111,-0.111,2MHzPhaseLinearity
25,2,8,0,InPhase,NormalizedStPhase,0.1,-0.1,2MHzPhaseLinearity
25,2,8,10,InPhase,NormalizedStPhase,0.111,-0.111,2MHzPhaseLinearity
25,2,8,20,InPhase,NormalizedStPhase,0.122,-0.122,2MHzPhaseLinearity
25,2,8,30,InPhase,NormalizedStPhase,0.133,-0.133,2MHzPhaseLinearity
25,2,8,40,InPhase,NormalizedStPhase,0.144,-0.144,2MHzPhaseLinearity
150,2,8,-40,InPhase,NormalizedExPhase,0.144,-0.144,2MHzPhaseLinearity
150,2,8,-30,InPhase,NormalizedExPhase,0.133,-0.133,2MHzPhaseLinearity
150,2,8,-20,InPhase,NormalizedExPhase,0.122,-0.122,2MHzPhaseLinearity
150,2,8,-10,InPhase,NormalizedExPhase,0.111,-0.111,2MHzPhaseLinearity
150,2,8,0,InPhase,NormalizedExPhase,0.1,-0.1,2MHzPhaseLinearity
150,2,8,10,InPhase,NormalizedExPhase,0.111,-0.111,2MHzPhaseLinearity
150,2,8,20,InPhase,NormalizedExPhase,0.122,-0.122,2MHzPhaseLinearity
150,2,8,30,InPhase,NormalizedExPhase,0.133,-0.133,2MHzPhaseLinearity
150,2,8,40,InPhase,NormalizedExPhase,0.144,-0.144,2MHzPhaseLinearity
150,2,8,-40,InPhase,NormalizedStPhase,0.144,-0.144,2MHzPhaseLinearity
150,2,8,-30,InPhase,NormalizedStPhase,0.133,-0.133,2MHzPhaseLinearity
150,2,8,-20,InPhase,NormalizedStPhase,0.122,-0.122,2MHzPhaseLinearity
150,2,8,-10,InPhase,NormalizedStPhase,0.111,-0.111,2MHzPhaseLinearity
150,2,8,0,InPhase,NormalizedStPhase,0.1,-0.1,2MHzPhaseLinearity
150,2,8,10,InPhase,NormalizedStPhase,0.111,-0.111,2MHzPhaseLinearity
150,2,8,20,InPhase,NormalizedStPhase,0.122,-0.122,2MHzPhaseLinearity
150,2,8,30,InPhase,NormalizedStPhase,0.133,-0.133,2MHzPhaseLinearity
150,2,8,40,InPhase,NormalizedStPhase,0.144,-0.144,2MHzPhaseLinearity
25,2,9,-40,InPhase,NormalizedExPhase,0.144,-0.144,1MHzPhaseLinearity
25,2,9,-30,InPhase,NormalizedExPhase,0.133,-0.133,1MHzPhaseLinearity
25,2,9,-20,InPhase,NormalizedExPhase,0.122,-0.122,1MHzPhaseLinearity
25,2,9,-10,InPhase,NormalizedExPhase,0.111,-0.111,1MHzPhaseLinearity
25,2,9,0,InPhase,NormalizedExPhase,0.1,-0.1,1MHzPhaseLinearity
25,2,9,10,InPhase,NormalizedExPhase,0.111,-0.111,1MHzPhaseLinearity
25,2,9,20,InPhase,NormalizedExPhase,0.122,-0.122,1MHzPhaseLinearity
25,2,9,30,InPhase,NormalizedExPhase,0.133,-0.133,1MHzPhaseLinearity
25,2,9,40,InPhase,NormalizedExPhase,0.144,-0.144,1MHzPhaseLinearity
25,2,9,-40,InPhase,NormalizedStPhase,0.144,-0.144,1MHzPhaseLinearity
25,2,9,-30,InPhase,NormalizedStPhase,0.133,-0.133,1MHzPhaseLinearity
25,2,9,-20,InPhase,NormalizedStPhase,0.122,-0.122,1MHzPhaseLinearity
25,2,9,-10,InPhase,NormalizedStPhase,0.111,-0.111,1MHzPhaseLinearity
25,2,9,0,InPhase,NormalizedStPhase,0.1,-0.1,1MHzPhaseLinearity
25,2,9,10,InPhase,NormalizedStPhase,0.111,-0.111,1MHzPhaseLinearity
25,2,9,20,InPhase,NormalizedStPhase,0.122,-0.122,1MHzPhaseLinearity
25,2,9,30,InPhase,NormalizedStPhase,0.133,-0.133,1MHzPhaseLinearity
25,2,9,40,InPhase,NormalizedStPhase,0.144,-0.144,1MHzPhaseLinearity
150,2,9,-40,InPhase,NormalizedExPhase,0.144,-0.144,1MHzPhaseLinearity
150,2,9,-30,InPhase,NormalizedExPhase,0.133,-0.133,1MHzPhaseLinearity
150,2,9,-20,InPhase,NormalizedExPhase,0.122,-0.122,1MHzPhaseLinearity
150,2,9,-10,InPhase,NormalizedExPhase,0.111,-0.111,1MHzPhaseLinearity
150,2,9,0,InPhase,NormalizedExPhase,0.1,-0.1,1MHzPhaseLinearity
150,2,9,10,InPhase,NormalizedExPhase,0.111,-0.111,1MHzPhaseLinearity
150,2,9,20,InPhase,NormalizedExPhase,0.122,-0.122,1MHzPhaseLinearity
150,2,9,30,InPhase,NormalizedExPhase,0.133,-0.133,1MHzPhaseLinearity
150,2,9,40,InPhase,NormalizedExPhase,0.144,-0.144,1MHzPhaseLinearity
150,2,9,-40,InPhase,NormalizedStPhase,0.144,-0.144,1MHzPhaseLinearity
150,2,9,-30,InPhase,NormalizedStPhase,0.133,-0.133,1MHzPhaseLinearity
150,2,9,-20,InPhase,NormalizedStPhase,0.122,-0.122,1MHzPhaseLinearity
150,2,9,-10,InPhase,NormalizedStPhase,0.111,-0.111,1MHzPhaseLinearity
150,2,9,0,InPhase,NormalizedStPhase,0.1,-0.1,1MHzPhaseLinearity
150,2,9,10,InPhase,NormalizedStPhase,0.111,-0.111,1MHzPhaseLinearity
150,2,9,20,InPhase,NormalizedStPhase,0.122,-0.122,1MHzPhaseLinearity
150,2,9,30,InPhase,NormalizedStPhase,0.133,-0.133,1MHzPhaseLinearity
150,2,9,40,InPhase,NormalizedStPhase,0.144,-0.144,1MHzPhaseLinearity
-15,2,1,20,TargSBV,SubbusI,100,50,PowerTest
-15,2,1,20,TargSBV,SubbusV,21,19,PowerTest
-15,2,1,20,TargSBV,11V,11.5,10.5,PowerTest
-15,2,1,20,TargSBV,6.8V,7.14,6.46,PowerTest
-15,2,1,20,TargSBV,DAC_0.0V,0.3,-0.3,PowerTest
-15,2,1,20,TargSBV,DAC_1.4V,1.5,1.3,PowerTest
-15,2,1,20,TargSBV,DAC_2.2V,2.3,2.1,PowerTest
-15,2,1,20,TargSBV,DAC_2.8V,2.9,2.7,PowerTest
-15,2,1,20,TargSBV,DAC_4.3V,4.4,4.2,PowerTest
175,2,1,20,TargSBV,SubbusI,100,50,PowerTest
175,2,1,20,TargSBV,SubbusV,21,19,PowerTest
175,2,1,20,TargSBV,11V,11.5,10.5,PowerTest
175,2,1,20,TargSBV,6.8V,7.14,6.46,PowerTest
175,2,1,20,TargSBV,DAC_0.0V,0.3,-0.3,PowerTest
175,2,1,20,TargSBV,DAC_1.4V,1.5,1.3,PowerTest
175,2,1,20,TargSBV,DAC_2.2V,2.3,2.1,PowerTest
175,2,1,20,TargSBV,DAC_2.8V,2.9,2.7,PowerTest
175,2,1,20,TargSBV,DAC_4.3V,4.4,4.2,PowerTest
-15,2,2,1999500,InFrequency,NormalizedExPhase,0.1,-0.1,2MHzBWTest
-15,2,2,1999600,InFrequency,NormalizedExPhase,0.1,-0.1,2MHzBWTest
-15,2,2,1999700,InFrequency,NormalizedExPhase,0.1,-0.1,2MHzBWTest
-15,2,2,1999800,InFrequency,NormalizedExPhase,0.1,-0.1,2MHzBWTest
-15,2,2,1999900,InFrequency,NormalizedExPhase,0.1,-0.1,2MHzBWTest
-15,2,2,2000000,InFrequency,NormalizedExPhase,0.1,-0.1,2MHzBWTest
-15,2,2,2000100,InFrequency,NormalizedExPhase,0.1,-0.1,2MHzBWTest
-15,2,2,2000200,InFrequency,NormalizedExPhase,0.1,-0.1,2MHzBWTest
-15,2,2,2000300,InFrequency,NormalizedExPhase,0.1,-0.1,2MHzBWTest
-15,2,2,2000400,InFrequency,NormalizedExPhase,0.1,-0.1,2MHzBWTest
-15,2,2,2000500,InFrequency,NormalizedExPhase,0.1,-0.1,2MHzBWTest
-15,2,2,1999500,InFrequency,NormalizedStPhase,0.1,-0.1,2MHzBWTest
-15,2,2,1999600,InFrequency,NormalizedStPhase,0.1,-0.1,2MHzBWTest
-15,2,2,1999700,InFrequency,NormalizedStPhase,0.1,-0.1,2MHzBWTest
-15,2,2,1999800,InFrequency,NormalizedStPhase,0.1,-0.1,2MHzBWTest
-15,2,2,1999900,InFrequency,NormalizedStPhase,0.1,-0.1,2MHzBWTest
-15,2,2,2000000,InFrequency,NormalizedStPhase,0.1,-0.1,2MHzBWTest
-15,2,2,2000100,InFrequency,NormalizedStPhase,0.1,-0.1,2MHzBWTest
-15,2,2,2000200,InFrequency,NormalizedStPhase,0.1,-0.1,2MHzBWTest
-15,2,2,2000300,InFrequency,NormalizedStPhase,0.1,-0.1,2MHzBWTest
-15,2,2,2000400,InFrequency,NormalizedStPhase,0.1,-0.1,2MHzBWTest
-15,2,2,2000500,InFrequency,NormalizedStPhase,0.1,-0.1,2MHzBWTest
175,2,2,1999500,InFrequency,NormalizedExPhase,0.1,-0.1,2MHzBWTest
175,2,2,1999600,InFrequency,NormalizedExPhase,0.1,-0.1,2MHzBWTest
175,2,2,1999700,InFrequency,NormalizedExPhase,0.1,-0.1,2MHzBWTest
175,2,2,1999800,InFrequency,NormalizedExPhase,0.1,-0.1,2MHzBWTest
175,2,2,1999900,InFrequency,NormalizedExPhase,0.1,-0.1,2MHzBWTest
175,2,2,2000000,InFrequency,NormalizedExPhase,0.1,-0.1,2MHzBWTest
175,2,2,2000100,InFrequency,NormalizedExPhase,0.1,-0.1,2MHzBWTest
175,2,2,2000200,InFrequency,NormalizedExPhase,0.1,-0.1,2MHzBWTest
175,2,2,2000300,InFrequency,NormalizedExPhase,0.1,-0.1,2MHzBWTest
175,2,2,2000400,InFrequency,NormalizedExPhase,0.1,-0.1,2MHzBWTest
175,2,2,2000500,InFrequency,NormalizedExPhase,0.1,-0.1,2MHzBWTest
175,2,2,1999500,InFrequency,NormalizedStPhase,0.1,-0.1,2MHzBWTest
175,2,2,1999600,InFrequency,NormalizedStPhase,0.1,-0.1,2MHzBWTest
175,2,2,1999700,InFrequency,NormalizedStPhase,0.1,-0.1,2MHzBWTest
175,2,2,1999800,InFrequency,NormalizedStPhase,0.1,-0.1,2MHzBWTest
175,2,2,1999900,InFrequency,NormalizedStPhase,0.1,-0.1,2MHzBWTest
175,2,2,2000000,InFrequency,NormalizedStPhase,0.1,-0.1,2MHzBWTest
175,2,2,2000100,InFrequency,NormalizedStPhase,0.1,-0.1,2MHzBWTest
175,2,2,2000200,InFrequency,NormalizedStPhase,0.1,-0.1,2MHzBWTest
175,2,2,2000300,InFrequency,NormalizedStPhase,0.1,-0.1,2MHzBWTest
175,2,2,2000400,InFrequency,NormalizedStPhase,0.1,-0.1,2MHzBWTest
175,2,2,2000500,InFrequency,NormalizedStPhase,0.1,-0.1,2MHzBWTest
-15,2,3,999500,InFrequency,NormalizedExPhase,0.1,-0.1,1MHzBWTest
-15,2,3,999600,InFrequency,NormalizedExPhase,0.1,-0.1,1MHzBWTest
-15,2,3,999700,InFrequency,NormalizedExPhase,0.1,-0.1,1MHzBWTest
-15,2,3,999800,InFrequency,NormalizedExPhase,0.1,-0.1,1MHzBWTest
-15,2,3,999900,InFrequency,NormalizedExPhase,0.1,-0.1,1MHzBWTest
-15,2,3,1000000,InFrequency,NormalizedExPhase,0.1,-0.1,1MHzBWTest
-15,2,3,1000100,InFrequency,NormalizedExPhase,0.1,-0.1,1MHzBWTest
-15,2,3,1000200,InFrequency,NormalizedExPhase,0.1,-0.1,1MHzBWTest
-15,2,3,1000300,InFrequency,NormalizedExPhase,0.1,-0.1,1MHzBWTest
-15,2,3,1000400,InFrequency,NormalizedExPhase,0.1,-0.1,1MHzBWTest
-15,2,3,1000500,InFrequency,NormalizedExPhase,0.1,-0.1,1MHzBWTest
-15,2,3,999500,InFrequency,NormalizedStPhase,0.1,-0.1,1MHzBWTest
-15,2,3,999600,InFrequency,NormalizedStPhase,0.1,-0.1,1MHzBWTest
-15,2,3,999700,InFrequency,NormalizedStPhase,0.1,-0.1,1MHzBWTest
-15,2,3,999800,InFrequency,NormalizedStPhase,0.1,-0.1,1MHzBWTest
-15,2,3,999900,InFrequency,NormalizedStPhase,0.1,-0.1,1MHzBWTest
-15,2,3,1000000,InFrequency,NormalizedStPhase,0.1,-0.1,1MHzBWTest
-15,2,3,1000100,InFrequency,NormalizedStPhase,0.1,-0.1,1MHzBWTest
-15,2,3,1000200,InFrequency,NormalizedStPhase,0.1,-0.1,1MHzBWTest
-15,2,3,1000300,InFrequency,NormalizedStPhase,0.1,-0.1,1MHzBWTest
-15,2,3,1000400,InFrequency,NormalizedStPhase,0.1,-0.1,1MHzBWTest
-15,2,3,1000500,InFrequency,NormalizedStPhase,0.1,-0.1,1MHzBWTest
175,2,3,999500,InFrequency,NormalizedExPhase,0.1,-0.1,1MHzBWTest
175,2,3,999600,InFrequency,NormalizedExPhase,0.1,-0.1,1MHzBWTest
175,2,3,999700,InFrequency,NormalizedExPhase,0.1,-0.1,1MHzBWTest
175,2,3,999800,InFrequency,NormalizedExPhase,0.1,-0.1,1MHzBWTest
175,2,3,999900,InFrequency,NormalizedExPhase,0.1,-0.1,1MHzBWTest
175,2,3,1000000,InFrequency,NormalizedExPhase,0.1,-0.1,1MHzBWTest
175,2,3,1000100,InFrequency,NormalizedExPhase,0.1,-0.1,1MHzBWTest
175,2,3,1000200,InFrequency,NormalizedExPhase,0.1,-0.1,1MHzBWTest
175,2,3,1000300,InFrequency,NormalizedExPhase,0.1,-0.1,1MHzBWTest
175,2,3,1000400,InFrequency,NormalizedExPhase,0.1,-0.1,1MHzBWTest
175,2,3,1000500,InFrequency,NormalizedExPhase,0.1,-0.1,1MHzBWTest
175,2,3,999500,InFrequency,NormalizedStPhase,0.1,-0.1,1MHzBWTest
175,2,3,999600,InFrequency,NormalizedStPhase,0.1,-0.1,1MHzBWTest
175,2,3,999700,InFrequency,NormalizedStPhase,0.1,-0.1,1MHzBWTest
175,2,3,999800,InFrequency,NormalizedStPhase,0.1,-0.1,1MHzBWTest
175,2,3,999900,InFrequency,NormalizedStPhase,0.1,-0.1,1MHzBWTest
175,2,3,1000000,InFrequency,NormalizedStPhase,0.1,-0.1,1MHzBWTest
175,2,3,1000100,InFrequency,NormalizedStPhase,0.1,-0.1,1MHzBWTest
175,2,3,1000200,InFrequency,NormalizedStPhase,0.1,-0.1,1MHzBWTest
175,2,3,1000300,InFrequency,NormalizedStPhase,0.1,-0.1,1MHzBWTest
175,2,3,1000400,InFrequency,NormalizedStPhase,0.1,-0.1,1MHzBWTest
175,2,3,1000500,InFrequency,NormalizedStPhase,0.1,-0.1,1MHzBWTest
-15,2,4,-65,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-67,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-69,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-71,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-73,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-75,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-77,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-79,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-81,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-83,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-85,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-87,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-89,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-91,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-93,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-95,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-97,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-99,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-101,InAmp,NormalizedExPhase,0.3,-0.3,2MHzPhaseVsAmpTest
-15,2,4,-103,InAmp,NormalizedExPhase,0.5,-0.5,2MHzPhaseVsAmpTest
-15,2,4,-105,InAmp,NormalizedExPhase,0.6,-0.6,2MHzPhaseVsAmpTest
-15,2,4,-65,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-67,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-69,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-71,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-73,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-75,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-77,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-79,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-81,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-83,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-85,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-87,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-89,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-91,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-93,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-95,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-97,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-99,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
-15,2,4,-101,InAmp,NormalizedStPhase,0.3,-0.3,2MHzPhaseVsAmpTest
-15,2,4,-103,InAmp,NormalizedStPhase,0.5,-0.5,2MHzPhaseVsAmpTest
-15,2,4,-105,InAmp,NormalizedStPhase,0.6,-0.6,2MHzPhaseVsAmpTest
175,2,4,-65,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-67,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-69,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-71,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-73,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-75,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-77,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-79,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-81,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-83,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-85,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-87,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-89,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-91,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-93,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-95,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-97,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-99,InAmp,NormalizedExPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-101,InAmp,NormalizedExPhase,0.3,-0.3,2MHzPhaseVsAmpTest
175,2,4,-103,InAmp,NormalizedExPhase,0.5,-0.5,2MHzPhaseVsAmpTest
175,2,4,-105,InAmp,NormalizedExPhase,0.6,-0.6,2MHzPhaseVsAmpTest
175,2,4,-65,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-67,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-69,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-71,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-73,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-75,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-77,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-79,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-81,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-83,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-85,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-87,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-89,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-91,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-93,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-95,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-97,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-99,InAmp,NormalizedStPhase,0.1,-0.1,2MHzPhaseVsAmpTest
175,2,4,-101,InAmp,NormalizedStPhase,0.3,-0.3,2MHzPhaseVsAmpTest
175,2,4,-103,InAmp,NormalizedStPhase,0.5,-0.5,2MHzPhaseVsAmpTest
175,2,4,-105,InAmp,NormalizedStPhase,0.6,-0.6,2MHzPhaseVsAmpTest
-15,2,5,-75,InAmp,NormalizedExPhase,0.1,-0.1,1MHzPhaseVsAmpTest
-15,2,5,-77,InAmp,NormalizedExPhase,0.1,-0.1,1MHzPhaseVsAmpTest
-15,2,5,-79,InAmp,NormalizedExPhase,0.1,-0.1,1MHzPhaseVsAmpTest
-15,2,5,-81,InAmp,NormalizedExPhase,0.1,-0.1,1MHzPhaseVsAmpTest
-15,2,5,-83,InAmp,NormalizedExPhase,0.1,-0.1,1MHzPhaseVsAmpTest
-15,2,5,-85,InAmp,NormalizedExPhase,0.1,-0.1,1MHzPhaseVsAmpTest
-15,2,5,-87,InAmp,NormalizedExPhase,0.1,-0.1,1MHzPhaseVsAmpTest
-15,2,5,-89,InAmp,NormalizedExPhase,0.1,-0.1,1MHzPhaseVsAmpTest
-15,2,5,-91,InAmp,NormalizedExPhase,0.1,-0.1,1MHzPhaseVsAmpTest
-15,2,5,-93,InAmp,NormalizedExPhase,0.1,-0.1,1MHzPhaseVsAmpTest
-15,2,5,-95,InAmp,NormalizedExPhase,0.1,-0.1,1MHzPhaseVsAmpTest
-15,2,5,-97,InAmp,NormalizedExPhase,0.1,-0.1,1MHzPhaseVsAmpTest
-15,2,5,-99,InAmp,NormalizedExPhase,0.1,-0.1,1MHzPhaseVsAmpTest
-15,2,5,-101,InAmp,NormalizedExPhase,0.3,-0.3,1MHzPhaseVsAmpTest
-15,2,5,-103,InAmp,NormalizedExPhase,0.5,-0.5,1MHzPhaseVsAmpTest
-15,2,5,-105,InAmp,NormalizedExPhase,0.6,-0.6,1MHzPhaseVsAmpTest
-15,2,5,-75,InAmp,NormalizedStPhase,0.1,-0.1,1MHzPhaseVsAmpTest
-15,2,5,-77,InAmp,NormalizedStPhase,0.1,-0.1,1MHzPhaseVsAmpTest
-15,2,5,-79,InAmp,NormalizedStPhase,0.1,-0.1,1MHzPhaseVsAmpTest
-15,2,5,-81,InAmp,NormalizedStPhase,0.1,-0.1,1MHzPhaseVsAmpTest
-15,2,5,-83,InAmp,NormalizedStPhase,0.1,-0.1,1MHzPhaseVsAmpTest
-15,2,5,-85,InAmp,NormalizedStPhase,0.1,-0.1,1MHzPhaseVsAmpTest
-15,2,5,-87,InAmp,NormalizedStPhase,0.1,-0.1,1MHzPhaseVsAmpTest
-15,2,5,-89,InAmp,NormalizedStPhase,0.1,-0.1,1MHzPhaseVsAmpTest
-15,2,5,-91,InAmp,NormalizedStPhase,0.1,-0.1,1MHzPhaseVsAmpTest
-15,2,5,-93,InAmp,NormalizedStPhase,0.1,-0.1,1MHzPhaseVsAmpTest
-15,2,5,-95,InAmp,NormalizedStPhase,0.1,-0.1,1MHzPhaseVsAmpTest
-15,2,5,-97,InAmp,NormalizedStPhase,0.1,-0.1,1MHzPhaseVsAmpTest
-15,2,5,-99,InAmp,NormalizedStPhase,0.1,-0.1,1MHzPhaseVsAmpTest
